text,size
trump,905
president,245
japan,150
spending,135
united,125
trade,120
states,110
white,105
national,105
march,95
american,95
mcdougal,90
think,80
advertisement,80
macron,75
funding,75
tariffs,65
please,65
congress,65
night,60
measure,60
friday,60
first,60
email,60
china,60
affair,60
security,55
newsletter,55
government,55
former,55
country,55
signed,50
military,50
facebook,50
bolton,50
america,50
washington,45
steel,45
playboy,45
people,45
landrieu,45
great,45
federal,45
economic,45
called,45
billion,45
already,45
version,40
twitter,40
threat,40
subscribe,40
something,40
since,40
republican,40
really,40
products,40
politics,40
political,40
morning,40
donald,40
democrats,40
credit,40
confidence,40
border,40
administration,40
tokyo,35
thursday,35
share,35
saying,35
relationship,35
presidential,35
policy,35
model,35
legislation,35
later,35
interview,35
interested,35
friend,35
french,35
france,35
economy,35
campaign,35
business,35
article,35
agree,35
adviser,35
actually,35
years,30
world,30
voters,30
trillion,30
supported,30
seemed,30
right,30
recession,30
point,30
passed,30
order,30
omnibus,30
months,30
