text,size
trump,1380
realdonaldtrump,150
caravan,132
president,126
border,120
women,119
immigrant,112
violence,110
children,110
fleeing,108
times,100
semple,100
national,81
donald,80
guard,70
people,64
mueller,62
obama,58
mexico,54
russia,48
potus,46
troops,43
trade,41
military,40
thing,35
amazon,35
putin,34
china,34
inside,33
voted,32
sending,32
country,31
white,30
russian,30
administration,30
right,28
syria,27
america,27
house,26
foxnews,25
money,24
protect,23
youtube,22
target,22
office,22
campaign,22
always,22
years,21
support,20
proclamation,20
approval,20
world,19
today,19
thank,19
something,18
security,18
nothing,18
election,18
trying,17
supporters,17
great,17
fired,17
democrats,17
agenda,17
stupid,16
stand,16
needs,16
american,16
withdrawal,15
talking,15
please,15
hillary,15
first,15
deployment,15
another,15
voters,14
tariffs,14
oligarchs,14
msnbc,14
media,14
immediately,14
farmers,14
anything,14
anyone,14
wrong,13
sanctions,13
maybe,13
knows,13
immigration,13
exactly,13
evidence,13
congress,13
tweets,12
truth,12
tried,12
supporter,12
since,12
racist,12
presidency,12
lawyer,12
